key,zh-CN,zh-TW,en-US,fr-FR,ja-JP,ko-KR,ru-RU,es-ES,de-DE,pt-PT,id-ID,ar-SA
Notice,消息通知,訊息通知,Message Notification,Notification de message,メッセージ通知,메시지 알림,Уведомление о сообщении,Notificación de mensaje,Nachrichtenbenachrichtigung,Notificação de mensagem,Notifikasi Pesan,إشعار الرسالة
Annunciate,公告,公告,Announcement,Annonce,公告,公告,Объявление,Anuncio,Ankündigung,Anúncio,Pengumuman,الإعلان
Notice Scene,通知场景,通知場景,Notification Scene,Scène de notification,通知シーン,알림 장면,Сцена уведомления,Escena de notificación,Benachrichtigungsszene,Cena de notificação,Scene pemberitahuan,مشهد الإشعار
Notice Log,通知记录,通知記錄,Notification Log,Journal de notification,通知ログ,알림 기록,Журнал уведомлений,Registro de notificación,Benachrichtigungsprotokocol,Registro de notificação,Log pemberitahuan,سجل الإشعارات
Notice Log Details,通知详情,通知詳情,Notification Log Details,Détails du journal de notification,通知ログの詳細,알림 기록 상세,Детали журнала уведомлений,Detalles del registro de notificación,Details des Benachrichtigungsprotokolls,Detalhes do registro de notificação,Detail log pemberitahuan,تفاصيل سجل الإشعارات
notice.receive_user,接收用户,接收用戶,Recipient,Destinataire,受信者,수신자,Получатель,Destinatario,Empfänger,Destinatário,Penerima,المستلم
notice.channel,通知渠道,通知管道,Notification Channel,Canal de notification,通知チャンネル,알림 채널,Канал уведомлений,Canal de notificación,Benachrichtigungskanal,Canal de notificação,Saluran Notifikasi,قناة الإشعار
notice.is_success,是否成功,是否成功,Success,Réussite,成功,성공 여부,Успешно,¿Éxito?,Erfolg,Sucesso,Sukses,النجاح
notice.error,错误信息,錯誤資訊,Error Information,Informations d’erreur,エラー情報,오류 정보,Информация об ошибке,Información de error,Fehlerinformation,Informação de erro,Informasi Kesalahan,معلومات الخطأ
notice.channel.internal,站内通知,站內通知,Internal,Interne,内線通知,내부 통지,Внутрение уведомление,Notificación interna,Interner Benachrichtigung,Notificação interna,Notifikasi Internal,إشعار الداخل
notice.status,状态,狀態,Status,Statut,状態,상태,Статус,Estado,Status,Estado,Status,الحالة
notice.scene,通知场景,通知場景,Notification Scene,Scène de notification,通知場景,通知場景,Уведомление сцена,Escena de notificación,Benachrichtigungsszene,Escena de notificación,Scene Notifikasi,محocus الإشعار
SENT,已发送,已發送,Sent,Envoyé,送信済み,발송 완료,Отправлено,Enviado,Gesendet,Enviado,Dikirim,تم الإرسال
UNREAD,未读,未讀,Unread,Non lu,未読,미확인,Не прочитано,No leído,No gelesen,No leído,Belum Dibaca,غير مقروء
READ,已读,已讀,Read,Lu,読み,읽음,Прочитано,Leído,Gelesen,Leído,Dibaca,تم القراءة
