key,zh-CN,zh-TW,en-US,fr-FR,ja-JP,ko-KR,ru-RU,es-ES,de-DE,pt-PT,id-ID,ar-SA
Model Atlas,模型图谱,模型圖譜,Model Atlas,Atlas des modèles,モデルアトラス,모델 아틀라스,Атлас моделей,Atlas de modelos,Modell-Atlas,Atlas de modelos,Atlas Model,أطلس النماذج
Lineage,血缘,血緣,Lineage,Lignage,リネージ,계보,Связи,Linaje,Herkunft,Linhagem,Silsilah,السلالة
Layers,层级,層級,Layers,Couches,レイヤー,레이어,Уровни,Capas,Ebenen,Camadas,Lapisan,الطبقات
Overview,总览,總覽,Overview,Vue d'ensemble,概要,개요,Обзор,Vista general,Übersicht,Visão geral,Ringkasan,نظرة عامة
Matrix,矩阵,矩陣,Matrix,Matrice,マトリクス,매트릭스,Матрица,Matriz,Matrix,Matriz,Matriks,المصفوفة
Impact,影响面,影響面,Impact,Impact,影響範囲,영향도,Влияние,Impacto,Auswirkung,Impacto,Dampak,التأثير
Audit,体检,體檢,Audit,Audit,監査,점검,Аудит,Auditoría,Prüfung,Auditoria,Audit,التدقيق
depth,深度,深度,depth,profondeur,深さ,깊이,глубина,profundidad,Tiefe,profundidade,kedalaman,العمق
Search model…,搜索模型…,搜尋模型…,Search model…,Rechercher un modèle…,モデルを検索…,모델 검색…,Поиск модели…,Buscar modelo…,Modell suchen…,Pesquisar modelo…,Cari model…,ابحث عن نموذج…
Domain,域,域,Domain,Domaine,ドメイン,도메인,Домен,Dominio,Domäne,Domínio,Domain,النطاق
All,全部,全部,All,Tout,すべて,전체,Все,Todos,Alle,Todos,Semua,الكل
models,模型,模型,models,modèles,モデル,모델,моделей,modelos,Modelle,modelos,model,نماذج
cubes,立方体,立方體,cubes,cubes,キューブ,큐브,кубов,cubos,Cubes,cubos,kubus,مكعبات
relations,关系,關係,relations,relations,リレーション,관계,связей,relaciones,Beziehungen,relações,relasi,علاقات
modules,模块,模組,modules,modules,モジュール,모듈,модулей,módulos,Module,módulos,modul,وحدات
remote,远程,遠程,remote,distants,リモート,원격,удалённых,remotos,entfernt,remotos,jarak jauh,بعيدة
Model,模型,模型,Model,Modèle,モデル,모델,Модель,Modelo,Modell,Modelo,Model,النموذج
Module,模块,模組,Module,Module,モジュール,모듈,Модуль,Módulo,Modul,Módulo,Modul,الوحدة
Relations,关系,關係,Relations,Relations,リレーション,관계,Связи,Relaciones,Beziehungen,Relações,Relasi,العلاقات
Fields,字段,欄位,Fields,Champs,フィールド,필드,Поля,Campos,Felder,Campos,Bidang,الحقول
Dimensions,维度,維度,Dimensions,Dimensions,ディメンション,차원,Измерения,Dimensiones,Dimensionen,Dimensões,Dimensi,الأبعاد
Config,配置,配置,Config,Configuration,設定,설정,Конфигурация,Configuración,Konfiguration,Configuração,Konfigurasi,الإعدادات
Referenced by,被引用,被引用,Referenced by,Référencé par,参照元,참조됨,На него ссылаются,Referenciado por,Referenziert von,Referenciado por,Dirujuk oleh,مُشار إليه من
References,引用,引用,References,Références,参照先,참조함,Ссылается на,Referencias,Referenziert,Referências,Merujuk,يشير إلى
referenced by,被引用,被引用,referenced by,référencé par,参照元,참조됨,ссылаются,referenciado por,referenziert von,referenciado por,dirujuk oleh,مُشار إليه من
references,引用,引用,references,références,参照先,참조함,ссылается,referencias,referenziert,referências,merujuk,يشير إلى
Levels deep,层深,層深,Levels deep,Niveaux,階層の深さ,레벨 깊이,Уровней,Niveles,Ebenen tief,Níveis,Kedalaman level,عدد الطبقات
Models levelled,已分层模型,已分層模型,Models levelled,Modèles classés,階層化されたモデル,레벨이 매겨진 모델,Размещено моделей,Modelos clasificados,Eingeordnete Modelle,Modelos classificados,Model berlevel,النماذج المصنفة
Foundation models,地基模型,地基模型,Foundation models,Modèles socles,土台のモデル,기반 모델,Базовых моделей,Modelos base,Fundamentmodelle,Modelos base,Model fondasi,نماذج الأساس
Longest chain,最长链,最長鏈,Longest chain,Chaîne la plus longue,最長チェーン,가장 긴 연쇄,Самая длинная цепь,Cadena más larga,Längste Kette,Cadeia mais longa,Rantai terpanjang,أطول سلسلة
