key,zh-CN,zh-TW,en-US,fr-FR,ja-JP,ko-KR,ru-RU,es-ES,de-DE,pt-PT,id-ID,ar-SA
AI Decision,AI 决策,AI 決策,AI Decision,Décision IA,AI 判断,AI 의사결정,Решения ИИ,Decisión de IA,KI-Entscheidung,Decisão de IA,Keputusan AI,قرار الذكاء الاصطناعي
Decision,决策,決策,Decision,Décision,判断,의사결정,Решение,Decisión,Entscheidung,Decisão,Keputusan,قرار
Decision Model,决策模型,決策模型,Decision Model,Modèle de décision,判断モデル,의사결정 모델,Модель решений,Modelo de decisión,Entscheidungsmodell,Modelo de decisão,Model Keputusan,نموذج القرار
Decision Question,决策问题,決策問題,Decision Question,Question de décision,判断の質問,의사결정 질문,Вопрос решения,Pregunta de decisión,Entscheidungsfrage,Pergunta de decisão,Pertanyaan Keputusan,سؤال القرار
Decision Code,决策编码,決策編碼,Decision Code,Code de décision,判断コード,의사결정 코드,Код решения,Código de decisión,Entscheidungscode,Código de decisão,Kode Keputusan,رمز القرار
Question Code,问题编码,問題編碼,Question Code,Code de question,質問コード,질문 코드,Код вопроса,Código de pregunta,Fragecode,Código da pergunta,Kode Pertanyaan,رمز السؤال
Provider,服务商,服務商,Provider,Fournisseur,プロバイダー,제공자,Провайдер,Proveedor,Anbieter,Fornecedor,Penyedia,المزود
Type,类型,類型,Type,Type,タイプ,유형,Тип,Tipo,Typ,Tipo,Tipe,النوع
Instructions,判断说明,判斷說明,Instructions,Instructions,判断の指示,판단 지침,Инструкции,Instrucciones,Anweisungen,Instruções,Instruksi,التعليمات
Criteria,判断标准,判斷標準,Criteria,Critères,判断基準,판단 기준,Критерии,Criterios,Kriterien,Critérios,Kriteria,المعايير
Questions,问题列表,問題列表,Questions,Questions,質問一覧,질문 목록,Вопросы,Preguntas,Fragen,Perguntas,Daftar Pertanyaan,الأسئلة
Options,选项,選項,Options,Options,選択肢,선택지,Варианты,Opciones,Optionen,Opções,Opsi,الخيارات
Levels,等级,等級,Levels,Niveaux,レベル,등급,Уровни,Niveles,Stufen,Níveis,Tingkatan,المستويات
Means Yes,是的含义,是的含義,Means Yes,Signifie oui,はいの意味,예의 의미,Значение «да»,Significa sí,Bedeutet Ja,Significa sim,Arti Ya,معنى نعم
Means No,否的含义,否的含義,Means No,Signifie non,いいえの意味,아니오의 의미,Значение «нет»,Significa no,Bedeutet Nein,Significa não,Arti Tidak,معنى لا
Connection Test,连接测试,連接測試,Connection Test,Test de connexion,接続テスト,연결 테스트,Проверка подключения,Prueba de conexión,Verbindungstest,Teste de conexão,Uji Koneksi,اختبار الاتصال
Decision Test,决策测试,決策測試,Decision Test,Test de décision,判断テスト,의사결정 테스트,Тест решения,Prueba de decisión,Entscheidungstest,Teste de decisão,Uji Keputusan,اختبار القرار
Answers,判断结果,判斷結果,Answers,Réponses,判断結果,판단 결과,Ответы,Respuestas,Antworten,Respostas,Hasil,النتائج
Yes,是,是,Yes,Oui,はい,예,Да,Sí,Ja,Sim,Ya,نعم
No,否,否,No,Non,いいえ,아니요,Нет,No,Nein,Não,Tidak,لا
Probability,概率,機率,Probability,Probabilité,確率,확률,Вероятность,Probabilidad,Wahrscheinlichkeit,Probabilidade,Probabilitas,الاحتمال
Distribution,概率分布,機率分布,Distribution,Distribution,確率分布,확률 분포,Распределение,Distribución,Verteilung,Distribuição,Distribusi,التوزيع
Test State,测试内容,測試內容,Test State,Contenu de test,テスト内容,테스트 내용,Тестовые данные,Contenido de prueba,Testinhalt,Conteúdo de teste,Konten Uji,محتوى الاختبار
Test Run,运行测试,執行測試,Test Run,Exécuter le test,テスト実行,테스트 실행,Запустить тест,Ejecutar prueba,Test ausführen,Executar teste,Jalankan Uji,تشغيل الاختبار
Confidence,置信度,置信度,Confidence,Confiance,確信度,신뢰도,Уверенность,Confianza,Konfidenz,Confiança,Keyakinan,الثقة
