key,zh-CN,zh-TW,en-US,fr-FR,ja-JP,ko-KR,ru-RU,es-ES
Y,是,是,Yes,est,はい、,네,эт,es
N,否,否,No,oui,いいえ、,아니오,нет,si
finish,完成,完成,Finish,L’achèvement du,完了,완성,законч,completar
global.today,今天,今天,Today,aujourd’hui,今日,오늘,сегодн,hoy
global.date.last_7_day,近7天,近7天,Last  7 day,7 derniers jours,7日近くです,최근 7일,Почти семь дней.,Últimos 7 días
global.date.last_30_day,近30天,近30天,Last  30 day,Près de 30 jours,30日近くです,근 30일,Почти 30 дней.,Casi 30 días
global.date.this_month,本月,本月,This month,"Ce mois-ci,",今の月,지난,месяц,Este mes
global.date.last_month,上月,上月,Last month,"Le mois dernier,",先月,지난달,Прошл месяц,El último mes
global.home,首页,首頁,Home,La page de couverture,最初のページ,홈페이지,Главн страниц,En la primera página
global.cancel,取消,取消,Cancel,La suppression des,キャンセル,취소,отмен,cancelación
global.all,全部,全部,All,La totalité des,全部,전부,все,total
global.check_all,全选,全選,Check all,Aléatoire!,すべて選択,전체선택,выбира,QuanXuan
global.check_none,不选,不選,Uncheck,ne,選択しない,선택하지않음,Не выбра,No seleccionado
global.ok,确定,確定,OK,déterminer,を選択します,확실합니다,увер,determinar
global.keyword,请输入关键字,請輸入關鍵字,Please enter key words,Veuillez entrer un mot-clé,キーワードを入力してください,키워드를입력하세요,Введите ключевое слово,Por favor introduzca una palabra clave
global.close,关闭,關閉,Close,La fermeture,閉じる,닫기,закр,cierre
global.view,查看,查看,View,voir,表示,보기,провер,ver
global.delete,删除,刪除,Delete,supprimé,削除,삭제,удал,borrar
global.new,新增,新增,New,nouveaux,追加,새로추가,нов,nuevos
global.add,增加,增加,Add,Une augmentation,增加,증가,увелич,aumento
global.editor,编辑,編輯,Edit,Rédacteur en chef,編集,편집,редактор,editor
global.update,修改,修改,Modify,La modification,変更,수정,модификац,La modificación
global.add.success,添加成功,添加成功,Add success,Ajouté avec succès,追加成功,성공추가,Добавить успех,Añadido con éxito
global.select.one,请选中一条数据,請選中一條數據,Please select one data,Veuillez sélectionner une donnée,データを選択してください。,데이터를선택하십시오,"Пожалуйста, выберите сообщение","Por favor, seleccione un dato"
