key,zh-CN,zh-TW,en-US,fr-FR,ja-JP,ko-KR,ru-RU,es-ES,de-DE,pt-PT,id-ID,ar-SA
SSO Provider,单点登录,單點登錄,SSO Provider,Fournisseur SSO,SSOプロバイダ,SSO 공급자,Провайдер SSO,Proveedor SSO,SSO-Anbieter,Provedor SSO,Penyedia SSO,مزود الدخول الموحد
SSO Binding,单点登录绑定,單點登錄綁定,SSO Binding,Association SSO,SSO連携,SSO 연결,Привязка SSO,Vinculación SSO,SSO-Verknüpfung,Vínculo SSO,Ikatan SSO,ربط الدخول الموحد
Code,编码,編碼,Code,Code,コード,코드,Код,Código,Code,Código,Kode,الرمز
Name,名称,名稱,Name,Nom,名称,이름,Название,Nombre,Name,Nome,Nama,الاسم
Status,状态,狀態,Status,Statut,状態,상태,Статус,Estado,Status,Status,Status,الحالة
Sort,排序,排序,Sort,Tri,並び順,정렬,Сортировка,Orden,Sortierung,Ordem,Urutan,الترتيب
Issuer,签发者,簽發者,Issuer,Émetteur,発行者,발급자,Издатель,Emisor,Aussteller,Emissor,Penerbit,الجهة المصدرة
Authorize URL,授权地址,授權地址,Authorize URL,URL d'autorisation,認可URL,인증 URL,URL авторизации,URL de autorización,Autorisierungs-URL,URL de autorização,URL otorisasi,رابط التفويض
Token URL,令牌地址,令牌地址,Token URL,URL du jeton,トークンURL,토큰 URL,URL токена,URL de token,Token-URL,URL do token,URL token,رابط الرمز
User Info URL,用户信息地址,用戶信息地址,User Info URL,URL des infos utilisateur,ユーザー情報URL,사용자 정보 URL,URL сведений о пользователе,URL de información de usuario,Benutzerinfo-URL,URL de dados do usuário,URL info pengguna,رابط معلومات المستخدم
Redirect URI,回调地址,回調地址,Redirect URI,URI de redirection,リダイレクトURI,리디렉션 URI,URI перенаправления,URI de redirección,Redirect-URI,URI de redirecionamento,URI pengalihan,رابط إعادة التوجيه
