key,zh-CN,zh-TW,en-US,fr-FR,ja-JP,ko-KR,ru-RU,es-ES,de-DE,pt-PT,id-ID,ar-SA
AI Canvas,AI 画布,AI 畫布,AI Canvas,Canevas IA,AIキャンバス,AI 캔버스,ИИ-холст,Lienzo IA,KI-Canvas,Tela IA,Kanvas AI,لوحة الذكاء الاصطناعي
Target Models,目标模型,目標模型,Target Models,Modèles cibles,対象モデル,대상 모델,Целевые модели,Modelos objetivo,Zielmodelle,Modelos alvo,Model target,النماذج المستهدفة
Requirement,页面需求,頁面需求,Requirement,Exigence,要件,요구 사항,Требование,Requisito,Anforderung,Requisito,Kebutuhan,المتطلبات
Generate,生成,生成,Generate,Générer,生成,생성,Сгенерировать,Generar,Generieren,Gerar,Hasilkan,توليد
Preview,预览,預覽,Preview,Aperçu,プレビュー,미리보기,Предпросмотр,Vista previa,Vorschau,Pré-visualizar,Pratinjau,معاينة
Path,访问路径,訪問路徑,Path,Chemin,パス,경로,Путь,Ruta,Pfad,Caminho,Jalur,المسار
Enable,启用,啟用,Enable,Activer,有効,활성화,Включить,Habilitar,Aktivieren,Ativar,Aktifkan,تفعيل
Disable,禁用,禁用,Disable,Désactiver,無効,비활성화,Отключить,Deshabilitar,Deaktivieren,Desativar,Nonaktifkan,تعطيل
Generate the page with AI now? The current HTML will be overwritten.,现在用 AI 生成页面吗？当前 HTML 将被覆盖。,現在用 AI 生成頁面嗎？當前 HTML 將被覆蓋。,Generate the page with AI now? The current HTML will be overwritten.,Générer la page avec l'IA maintenant ? Le HTML actuel sera écrasé.,今すぐAIでページを生成しますか？現在のHTMLは上書きされます。,지금 AI로 페이지를 생성할까요? 현재 HTML은 덮어쓰기됩니다.,Сгенерировать страницу с помощью ИИ? Текущий HTML будет перезаписан.,¿Generar la página con IA ahora? El HTML actual se sobrescribirá.,Seite jetzt mit KI generieren? Das aktuelle HTML wird überschrieben.,Gerar a página com IA agora? O HTML atual será substituído.,Hasilkan halaman dengan AI sekarang? HTML saat ini akan ditimpa.,هل تريد توليد الصفحة بالذكاء الاصطناعي الآن؟ سيتم استبدال HTML الحالي.
Erupt models the page reads from; their field structures are sent to the AI,页面读取数据的 Erupt 模型；其字段结构会发送给 AI,頁面讀取數據的 Erupt 模型；其欄位結構會發送給 AI,Erupt models the page reads from; their field structures are sent to the AI,Modèles Erupt lus par la page ; leurs structures de champs sont envoyées à l'IA,ページが読み取るEruptモデル。そのフィールド構造がAIに送信されます,페이지가 읽는 Erupt 모델. 필드 구조가 AI로 전송됩니다,Модели Erupt для чтения; структура их полей передаётся ИИ,Modelos Erupt que lee la página; sus estructuras de campos se envían a la IA,Erupt-Modelle der Seite; ihre Feldstrukturen werden an die KI gesendet,Modelos Erupt lidos pela página; suas estruturas de campos são enviadas à IA,Model Erupt yang dibaca halaman; struktur fieldnya dikirim ke AI,نماذج Erupt التي تقرأ منها الصفحة؛ تُرسل بنية حقولها إلى الذكاء الاصطناعي
Leave blank to use the default chat model,留空则使用默认对话模型,留空則使用默認對話模型,Leave blank to use the default chat model,Laisser vide pour utiliser le modèle de chat par défaut,空欄の場合はデフォルトのチャットモデルを使用します,비워두면 기본 채팅 모델을 사용합니다,Оставьте пустым для модели по умолчанию,Dejar en blanco para usar el modelo de chat predeterminado,Leer lassen für das Standard-Chat-Modell,Deixe em branco para usar o modelo de chat padrão,Kosongkan untuk menggunakan model chat default,اتركه فارغًا لاستخدام نموذج المحادثة الافتراضي
Describe the page in natural language; edit and regenerate to refine,用自然语言描述页面；修改后重新生成即可迭代,用自然語言描述頁面；修改後重新生成即可迭代,Describe the page in natural language; edit and regenerate to refine,Décrivez la page en langage naturel ; modifiez et régénérez pour affiner,自然言語でページを記述し、編集して再生成すると改善できます,자연어로 페이지를 설명하세요. 수정 후 재생성하면 개선됩니다,Опишите страницу естественным языком; отредактируйте и перегенерируйте,Describa la página en lenguaje natural; edite y regenere para refinar,Seite in natürlicher Sprache beschreiben; zum Verfeinern erneut generieren,Descreva a página em linguagem natural; edite e regenere para refinar,Jelaskan halaman dalam bahasa alami; edit dan hasilkan ulang untuk menyempurnakan,صف الصفحة بلغة طبيعية؛ عدّل وأعد التوليد للتحسين
Generated page source; manual tweaks are kept until the next generation,生成的页面源码；手动调整在下次生成前保持有效,生成的頁面源碼；手動調整在下次生成前保持有效,Generated page source; manual tweaks are kept until the next generation,Source de la page générée ; les retouches manuelles sont conservées jusqu'à la prochaine génération,生成されたページのソース。手動の調整は次回の生成まで保持されます,생성된 페이지 소스. 수동 수정은 다음 생성 전까지 유지됩니다,Исходный код страницы; правки сохраняются до следующей генерации,Código de la página generada; los ajustes manuales se conservan hasta la próxima generación,Generierter Seitenquelltext; manuelle Anpassungen bleiben bis zur nächsten Generierung erhalten,Código da página gerada; ajustes manuais são mantidos até a próxima geração,Sumber halaman yang dihasilkan; perubahan manual dipertahankan hingga pembuatan berikutnya,مصدر الصفحة المولدة؛ تُحفظ التعديلات اليدوية حتى التوليد التالي
ai-canvas.model_not_found,未找到 Erupt 模型,未找到 Erupt 模型,Erupt model not found,Modèle Erupt introuvable,Eruptモデルが見つかりません,Erupt 모델을 찾을 수 없습니다,Модель Erupt не найдена,Modelo Erupt no encontrado,Erupt-Modell nicht gefunden,Modelo Erupt não encontrado,Model Erupt tidak ditemukan,لم يتم العثور على نموذج Erupt
ai-canvas.empty_response,AI 返回了空响应,AI 返回了空響應,AI returned an empty response,L'IA a renvoyé une réponse vide,AIが空の応答を返しました,AI가 빈 응답을 반환했습니다,ИИ вернул пустой ответ,La IA devolvió una respuesta vacía,KI lieferte eine leere Antwort,A IA retornou uma resposta vazia,AI mengembalikan respons kosong,أعاد الذكاء الاصطناعي استجابة فارغة
ai-canvas.bad_response,AI 响应中未找到 HTML 文档,AI 響應中未找到 HTML 文檔,No HTML document found in the AI response,Aucun document HTML trouvé dans la réponse de l'IA,AIの応答にHTMLドキュメントが見つかりません,AI 응답에서 HTML 문서를 찾을 수 없습니다,HTML-документ не найден в ответе ИИ,No se encontró un documento HTML en la respuesta de la IA,Kein HTML-Dokument in der KI-Antwort gefunden,Nenhum documento HTML encontrado na resposta da IA,Dokumen HTML tidak ditemukan dalam respons AI,لم يتم العثور على مستند HTML في استجابة الذكاء الاصطناعي
ai-canvas.not_generated,页面尚未生成,頁面尚未生成,The page has not been generated yet,La page n'a pas encore été générée,ページはまだ生成されていません,페이지가 아직 생성되지 않았습니다,Страница ещё не сгенерирована,La página aún no se ha generado,Die Seite wurde noch nicht generiert,A página ainda não foi gerada,Halaman belum dibuat,لم يتم توليد الصفحة بعد
ai-canvas.disabled,该视图已被禁用,該視圖已被禁用,This view is disabled,Cette vue est désactivée,このビューは無効になっています,이 뷰는 비활성화되었습니다,Это представление отключено,Esta vista está deshabilitada,Diese Ansicht ist deaktiviert,Esta vista está desativada,Tampilan ini dinonaktifkan,هذا العرض معطل
Canvas Version,画布版本,畫布版本,Canvas Version,Version du canevas,キャンバスバージョン,캔버스 버전,Версия холста,Versión del lienzo,Canvas-Version,Versão da tela,Versi kanvas,إصدار اللوحة
Canvas,画布,畫布,Canvas,Canevas,キャンバス,캔버스,Холст,Lienzo,Canvas,Tela,Kanvas,اللوحة
Version,版本,版本,Version,Version,バージョン,버전,Версия,Versión,Version,Versão,Versi,الإصدار
Designer,设计器,設計器,Designer,Concepteur,デザイナー,디자이너,Дизайнер,Diseñador,Designer,Designer,Desainer,المصمم
Data Type,数据类型,數據類型,Data Type,Type de données,データタイプ,데이터 유형,Тип данных,Tipo de datos,Datentyp,Tipo de dados,Jenis data,نوع البيانات
Data Model,数据模型,數據模型,Data Model,Modèle de données,データモデル,데이터 모델,Модель данных,Modelo de datos,Datenmodell,Modelo de dados,Model data,نموذج البيانات
Style,页面风格,頁面風格,Style,Style,スタイル,스타일,Стиль,Estilo,Stil,Estilo,Gaya,النمط
Active version's page source; manual tweaks are kept until the next generation,当前版本的页面源码；手动调整在下次生成前保持有效,當前版本的頁面源碼；手動調整在下次生成前保持有效,Active version's page source; manual tweaks are kept until the next generation,Source de la version active ; les retouches manuelles sont conservées jusqu'à la prochaine génération,アクティブバージョンのソース。手動の調整は次回の生成まで保持されます,활성 버전의 페이지 소스. 수동 수정은 다음 생성 전까지 유지됩니다,Исходный код активной версии; правки сохраняются до следующей генерации,Código de la versión activa; los ajustes manuales se conservan hasta la próxima generación,Quelltext der aktiven Version; manuelle Anpassungen bleiben bis zur nächsten Generierung erhalten,Código da versão ativa; ajustes manuais são mantidos até a próxima geração,Sumber versi aktif; perubahan manual dipertahankan hingga pembuatan berikutnya,مصدر الإصدار النشط؛ تُحفظ التعديلات اليدوية حتى التوليد التالي
