key,zh-CN,zh-TW,en-US,fr-FR,ja-JP,ko-KR,ru-RU,es-ES,de-DE,pt-PT,id-ID,ar-SA
Reports,报表管理,報表管理,Reports,Rapports,レポート管理,보고서 관리,Отчеты,Informes,Berichte,Relatórios,Laporan,تقارير
Analytics Report,分析报表,分析報表,Analytics Report,Rapport analytique,分析レポート,분석 보고서,Аналитический отчёт,Informe analítico,Analysebericht,Relatório analítico,Laporan Analitik,تقرير تحليلي
Report Config,报表配置,報表配置,Report Config,Config Rapport,レポート設定,보고서 설정,Настройка отчёта,Configuración de Informe,Berichtskonfiguration,Configuração de Relatório,Konfigurasi Laporan,إعداد التقرير
Add to Menu,添加到菜单,添加到選單,Add to Menu,Ajouter au menu,メニューに追加,메뉴에 추가,Добавить в меню,Agregar al menú,Zum Menü hinzufügen,Adicionar ao menu,Tambah ke menu,إضافة إلى القائمة
Chart Config,图表配置,圖表配置,Chart Config,Config Graphique,グラフ設定,차트 설정,Настройка графика,Configuración de Gráfico,Diagrammkonfiguration,Configuração de Gráfico,Konfigurasi Grafik,إعداد الرسم البياني
Modification History,修改记录,修改記錄,Modification History,Historique des modifications,変更履歴,수정 기록,История изменений,Historial de Modificaciones,Änderungshistorie,Histórico de Modificações,Riwayat Modifikasi,سجل التعديلات
Code,编码,編碼,Code,Code,コード,코드,Код,Código,Code,Código,Kode,رمز
Name,名称,名稱,Name,Nom,名前,이름,Имя,Nombre,Name,Nome,Nama,اسم
Group,组别,組別,Group,Groupe,グループ,그룹,Группа,Grupo,Gruppe,Grupo,Grup,مجموعة
Data Source,数据源,數據源,Data Source,Source de données,データソース,데이터 소스,Источник данных,Fuente de datos,Datenquelle,Fonte de dados,Sumber data,مصدر البيانات
Handler,处理类,處理類,Handler,Gestionnaire,ハンドラー,핸들러,Обработчик,Manejador,Handler,Manipulador,Penanganan,المعالج
Pagination,分页方式,分頁方式,Pagination,Pagination,ページング,페이지네이션,Пагинация,Paginación,Paginierung,Paginação,Paginasi,ترقيم الصفحات
Backend Pagination,后端分页,後端分頁,Backend Pagination,Pagination Backend,バックエンドページング,백엔드 페이지네이션,Серверная пагинация,Paginación Backend,Backend-Paginierung,Paginação Backend,Paginasi Backend,ترقيم صفحات الخادم
Frontend Pagination,前端分页,前端分頁,Frontend Pagination,Pagination Frontend,フロントエンドページング,프론트엔드 페이지네이션,Клиентская пагинация,Paginación Frontend,Frontend-Paginierung,Paginação Frontend,Paginasi Frontend,ترقيم صفحات الواجهة
No Pagination,不分页,不分頁,No Pagination,Sans pagination,ページングなし,페이지 없음,Без пагинации,Sin paginación,Keine Paginierung,Sem paginação,Tanpa paginasi,بدون ترقيم
Cache Time,缓存时间,緩存時間,Cache Time,Temps de cache,キャッシュ時間,캐시 시간,Время кэша,Tiempo de caché,Cache-Zeit,Tempo de cache,Waktu cache,وقت التخزين المؤقت
Cache Duration (s),缓存时间（秒）,緩存時間（秒）,Cache Duration (s),Durée du cache (s),キャッシュ期間（秒）,캐시 기간(초),Длительность кэша (с),Duración de caché (s),Cache-Dauer (s),Duração do cache (s),Durasi cache (d),مدة التخزين المؤقت (ث)
Refresh Interval,自刷周期,自刷週期,Refresh Interval,Intervalle de rafraîchissement,更新間隔,새로 고침 간격,Интервал обновления,Intervalo de actualización,Aktualisierungsintervall,Intervalo de atualização,Interval refresh,فترة التحديث
Auto Refresh (s),自动刷新周期（秒）,自動刷新週期（秒）,Auto Refresh (s),Rafraîchissement auto (s),自動更新（秒）,자동 새로 고침(초),Авто-обновление (с),Actualización automática (s),Automatische Aktualisierung (s),Atualização automática (s),Refresh otomatis (d),التحديث التلقائي (ث)
Export,导出,導出,Export,Exporter,エクスポート,내보내기,Экспорт,Exportar,Exportieren,Exportar,Ekspor,تصدير
On,开启,開啟,On,Activé,オン,켜기,Включить,Activado,Ein,Ligado,Aktif,تشغيل
Off,关闭,關閉,Off,Désactivé,オフ,끄기,Выключить,Desactivado,Aus,Desligado,Nonaktif,إيقاف
Query SQL,取值SQL,取值SQL,Query SQL,SQL de requête,クエリSQL,쿼리 SQL,SQL запроса,SQL de consulta,Abfrage-SQL,SQL de consulta,SQL kueri,SQL الاستعلام
Count SQL,总条数SQL,總條數SQL,Count SQL,SQL de comptage,カウントSQL,카운트 SQL,SQL подсчёта,SQL de conteo,Anzahl-SQL,SQL de contagem,SQL jumlah,SQL العدد
Description,描述,描述,Description,Description,説明,설명,Описание,Descripción,Beschreibung,Descrição,Deskripsi,وصف
Preview,效果预览,效果預覽,Preview,Aperçu,プレビュー,미리 보기,Предпросмотр,Vista previa,Vorschau,Visualização,Pratinjau,معاينة
Query Dimensions,查询维度,查詢維度,Query Dimensions,Dimensions de requête,クエリ次元,쿼리 차원,Измерения запроса,Dimensiones de consulta,Abfragedimensionen,Dimensões de consulta,Dimensi kueri,أبعاد الاستعلام
Column Config,列配置,列配置,Column Config,Config Colonne,列設定,열 설정,Настройка столбца,Configuración de columna,Spaltenkonfiguration,Configuração de coluna,Konfigurasi kolom,إعداد العمود
Data Source Manager,数据源管理,數據源管理,Data Source Manager,Gestionnaire de sources,データソース管理,데이터 소스 관리,Управление источниками,Gestión de fuentes,Datenquellenverwaltung,Gerenciamento de fontes,Manajemen sumber data,إدارة مصادر البيانات
Driver,驱动,驅動,Driver,Pilote,ドライバー,드라이버,Драйвер,Controlador,Treiber,Driver,Driver,برنامج التشغيل
DB Type,数据库类型,數據庫類型,DB Type,Type de BDD,DBタイプ,DB 유형,Тип БД,Tipo de BD,DB-Typ,Tipo de BD,Tipe DB,نوع قاعدة البيانات
Connection String,连接字符串,連接字符串,Connection String,Chaîne de connexion,接続文字列,연결 문자열,Строка подключения,Cadena de conexión,Verbindungszeichenkette,String de conexão,String koneksi,سلسلة الاتصال
Username,用户名,用戶名,Username,Nom d'utilisateur,ユーザー名,사용자 이름,Имя пользователя,Nombre de usuario,Benutzername,Nome de usuário,Nama pengguna,اسم المستخدم
Password,密码,密碼,Password,Mot de passe,パスワード,비밀번호,Пароль,Contraseña,Passwort,Senha,Kata sandi,كلمة المرور
Pagination SQL,分页语句,分頁語句,Pagination SQL,SQL de pagination,ページングSQL,페이지네이션 SQL,SQL пагинации,SQL de paginación,Paginierungs-SQL,SQL de paginação,SQL paginasi,SQL ترقيم الصفحات
Connection Pool Config,连接池配置,連接池配置,Connection Pool Config,Config pool connexion,接続プール設定,연결 풀 설정,Настройка пула,Configuración de pool,Verbindungspool-Konfiguration,Configuração de pool,Konfigurasi pool,إعداد تجمع الاتصالات
Remark,备注,備注,Remark,Remarque,備考,비고,Примечание,Observación,Bemerkung,Observação,Catatan,ملاحظة
Query Dimension,查询维度,查詢維度,Query Dimension,Dimension de requête,クエリ次元,쿼리 차원,Измерение запроса,Dimensión de consulta,Abfragedimension,Dimensão de consulta,Dimensi kueri,بُعد الاستعلام
Dimension Code,维度编码,維度編碼,Dimension Code,Code de dimension,次元コード,차원 코드,Код измерения,Código de dimensión,Dimensionscode,Código de dimensão,Kode dimensi,رمز البُعد
Required,是否必填,是否必填,Required,Requis,必須,필수,Обязательно,Requerido,Erforderlich,Obrigatório,Wajib,مطلوب
Reference Dimension,参照维度,參照維度,Reference Dimension,Dimension référence,参照次元,참조 차원,Ссылочное измерение,Dimensión de referencia,Referenzdimension,Dimensão de referência,Dimensi referensi,بُعد المرجع
Dimension Type,维度类型,維度類型,Dimension Type,Type de dimension,次元タイプ,차원 유형,Тип измерения,Tipo de dimensión,Dimensionstyp,Tipo de dimensão,Tipe dimensi,نوع البُعد
Text,文本,文本,Text,Texte,テキスト,텍스트,Текст,Texto,Text,Texto,Teks,نص
Tag,标签,標籤,Tag,Étiquette,タグ,태그,Тег,Etiqueta,Tag,Tag,Tag,علامة
Number,数值,數值,Number,Nombre,数値,숫자,Число,Número,Zahl,Número,Angka,رقم
Number Range,数值区间,數值區間,Number Range,Plage numérique,数値範囲,숫자 범위,Числовой диапазон,Rango numérico,Zahlenbereich,Intervalo numérico,Rentang angka,نطاق رقمي
