key,zh-CN,zh-TW,en-US,fr-FR,ja-JP,ko-KR,ru-RU,es-ES,de-DE,pt-PT,id-ID,ar-SA
Form Designer,表单设计器,表單設計器,Form Designer,Concepteur de formulaire,フォームデザイナー,폼 디자이너,Дизайнер форм,Diseñador de formularios,Formulardesigner,Designer de formulários,Perancang Formulir,مصمم النماذج
Design,设计,設計,Design,Conception,デザイン,디자인,Дизайн,Diseño,Design,Design,Desain,تصميم
Class Name,类名,類名,Class Name,Nom de classe,クラス名,클래스 이름,Имя класса,Nombre de clase,Klassenname,Nome da classe,Nama Kelas,اسم الفئة
Name,名称,名稱,Name,Nom,名前,이름,Имя,Nombre,Name,Nome,Nama,الاسم
Remark,备注,備注,Remark,Remarque,備考,비고,Примечание,Observación,Anmerkung,Observação,Keterangan,ملاحظة
Publish Time,发布时间,發布時間,Publish Time,Temps de publication,公開時間,게시 시간,Время публикации,Hora de publicación,Veröffentlichungszeit,Hora de publicação,Waktu Publikasi,وقت النشر
designer.invalid_class_name,无效的类名,無效的類名,Invalid class name,Nom de classe invalide,無効なクラス名,유효하지 않은 클래스 이름,Недопустимое имя класса,Nombre de clase inválido,Ungültiger Klassenname,Nome de classe inválido,Nama kelas tidak valid,اسم فئة غير صالح
designer.class_name_exists,类名已存在,類名已存在,Class name already exists,Le nom de classe existe déjà,クラス名は既に存在します,클래스 이름이 이미 존재합니다,Имя класса уже существует,El nombre de clase ya existe,Klassenname bereits vorhanden,Nome da classe já existe,Nama kelas sudah ada,اسم الفئة موجود بالفعل
designer.model_not_exist,模型不存在,模型不存在,Model does not exist,Le modèle n'existe pas,モデルが存在しません,모델이 존재하지 않습니다,Модель не существует,El modelo no existe,Modell existiert nicht,O modelo não existe,Model tidak ada,النموذج غير موجود
designer.enter_function_name,请输入功能名称,請輸入功能名稱,Please enter the function name,Veuillez saisir le nom de la fonction,機能名を入力してください,기능 이름을 입력하세요,Пожалуйста введите название функции,Por favor ingrese el nombre de la función,Bitte geben Sie den Funktionsnamen ein,Por favor insira o nome da função,Silakan masukkan nama fungsi,يرجى إدخال اسم الوظيفة
designer.real_erupt_exists,同名的真实 Erupt 类已存在,同名的真實 Erupt 類已存在,A real Erupt class with the same name already exists,Une vraie classe Erupt avec ce nom existe déjà,同名の実際のEruptクラスが既に存在します,동일한 이름의 실제 Erupt 클래스가 이미 존재합니다,Реальный класс Erupt с таким именем уже существует,Ya existe una clase Erupt real con el mismo nombre,Eine echte Erupt-Klasse mit diesem Namen existiert bereits,Já existe uma classe Erupt real com o mesmo nome,Kelas Erupt nyata dengan nama yang sama sudah ada,توجد فئة Erupt حقيقية بنفس الاسم بالفعل
designer.invalid_field_name,无效的字段名,無效的字段名,Invalid field name,Nom de champ invalide,無効なフィールド名,유효하지 않은 필드 이름,Недопустимое имя поля,Nombre de campo inválido,Ungültiger Feldname,Nome de campo inválido,Nama field tidak valid,اسم الحقل غير صالح
designer.field_requires_link,字段需要关联 Erupt 类,字段需要關聯 Erupt 類,Field requires a linked Erupt class,Le champ nécessite une classe Erupt liée,フィールドにはリンクされたEruptクラスが必要です,필드에는 연결된 Erupt 클래스가 필요합니다,Для поля требуется связанный класс Erupt,El campo requiere una clase Erupt vinculada,Feld erfordert eine verknüpfte Erupt-Klasse,O campo requer uma classe Erupt vinculada,Field memerlukan kelas Erupt yang ditautkan,الحقل يتطلب فئة Erupt مرتبطة
designer.publish_first,请先在设计器中发布表单,請先在設計器中發布表單,Please publish the form in the designer first,Veuillez d'abord publier le formulaire dans le designer,先にデザイナーでフォームを公開してください,먼저 디자이너에서 양식을 게시하세요,Сначала опубликуйте форму в дизайнере,Primero publique el formulario en el diseñador,Bitte veröffentlichen Sie das Formular zuerst im Designer,Por favor publique o formulário no designer primeiro,Silakan publikasikan formulir di designer terlebih dahulu,يرجى نشر النموذج في المصمم أولاً
Add to Menu,添加到菜单,添加到選單,Add to Menu,Ajouter au menu,メニューに追加,메뉴에 추가,Добавить в меню,Agregar al menú,Zum Menü hinzufügen,Adicionar ao menu,Tambahkan ke Menu,إضافة إلى القائمة
Menu Name,菜单名称,選單名稱,Menu Name,Nom du menu,メニュー名,메뉴 이름,Название меню,Nombre del menú,Menüname,Nome do menu,Nama Menu,اسم القائمة
Menu Location,菜单位置,選單位置,Menu Location,Emplacement du menu,メニューの場所,메뉴 위치,Расположение меню,Ubicación del menú,Menüposition,Localização do menu,Lokasi Menu,موقع القائمة
