key,zh-CN,zh-TW,en-US,fr-FR,ja-JP,ko-KR,ru-RU,es-ES,de-DE,pt-PT,id-ID,ar-SA
upms.pwd_required,密码必填,密碼必填,Password required,Mot de passe requis,パスワードは必ず入力します,비밀번호 필수,Пароль будет заполнен.,Contraseña es necesario,Der code muss ausgefüllt werden.,Senha é necessário,Kata sandi akan terisi,كلمة السر تملأ
upms.pwd_two_inconsistent,两次密码输入不一致,兩次密碼輸入不一致,The two password entries are inconsistent,Deux entrées de mot de passe incohérentes,パスワードの入力が2回一致しません,두 번 입력한 비밀번호가 일치하지 않습니다,Два непоследовательных ввода пароля,Dos contraseñas introducidas incoherentemente,In zwei fällen stimmen die zahlen nicht überein,Duas entradas de senha inconsistentes,Dua kali inkonsistensi input password,اثنين من إدخال كلمة المرور غير متسقة
upms.no_bind_post,未绑定的岗位无法查看数据,未綁定的崗位無法查看數據,Unbound posts cannot view data,Les messages non liés ne peuvent pas voir les données,紐付けられていない部署はデータを見ることができません,바인딩되지 않은 직무는 데이터를 볼 수 없습니다,Несвязанные посты не могут просматривать данные,Las publicaciones no vinculadas no pueden ver los datos,Unabgeschlossene stellen sind nicht möglich,Postagens não vinculadas não podem visualizar os dados,Tak ada akses data pada pos yang tak terikat,المواقع غير مقيدة لا يمكنها الوصول إلى البيانات
upms.no_bind_org,未绑定的组织无法查看数据,未綁定的組織無法查看數據,Unbound organizations cannot view data,Les organisations non liées ne peuvent pas voir les données,結合されていない組織はデータを見ることができません,바인딩되지 않은 조직은 데이터를 볼 수 없습니다,Несвязанные ткани не могут видеть данные,Las organizaciones no vinculadas no pueden ver los datos,Ungebundene organisationen können die daten nicht einsehen,Organizações não vinculadas não podem visualizar os dados,Tak ada jaringan yang tak terikat yang bisa mengakses data,لا يمكن للمنظمات غير المربوطة الاطلاع على البيانات
upms.not_super_admin-unable_add,当前用户非超管，无法创建超管用户,當前用戶非超管，無法創建超管用戶,"The current user is not hypermanaged. Therefore, you cannot create an hypermanaged user","L’utilisateur actuel n’est pas supertube, impossible de créer un utilisateur supertube",現在のユーザーはスーパーチューブではないので、スーパーチューブを作成できません。,현재 사용자는 초과 튜브가 아니므로 초과 튜브를 만들 수 없습니다,В настоящее время абонент не является гипертрубкой и не может создать пользователя,"El usuario actual no es supertube, no se puede crear un usuario supertube",Der benutzer ist nicht angeschlossen; dieser benutzer lässt sich nicht erzeugen,"O usuário atual não é supertube, não é possível criar um usuário supertube",Pengguna saat ini non,المستخدم الحالي غير منظّم لا قادر على إنشاء مستخدم خارق
upms.position_no_org,选择岗位时，所属组织必填,選擇崗位時，所屬組織必填,"When selecting a position, the organization is required",Obligatoire pour l’organisation affiliée lors de la sélection d’un poste,部署を選ぶとき、所属組織は必ず記入します。,부서 선택시 소속 조직은 필수이다,"При выборе места, принадлежащая организации заполняет его",Requerido por la organización al seleccionar un puesto,Die organisation füllt jede einzelne position aus,Obrigatório para a organização afiliada ao selecionar um post,"Ketika memilih posisi, organisasi akan mengisi",عند اختيار تعيينكم، تُملأ الهيئة التي تنتمي اليها
upms.account_pwd_error,账号或密码错误,賬號或密碼錯誤,Incorrect account or password,Le nom d'utilisateur ou le mot de passe est incorrect,アカウントまたはパスワードが間違っています,아이디 또는 비밀번호가 틀렸습니다,Неверный логин или пароль,L'account o la password sono errati,Falsche kontonummer Oder passwort,Conta ou senha incorreta,Nomor rekening atau kata sandi yang salah,رقم الحساب أو كلمة المرور خاطئة
[erupt],,,,,,,,,,,,
编码,编码,編碼,Code,codage,コード化です,인 코딩,закодирова,codificación,Codes.,A codificação,kode,الترميز
名称,名称,名稱,Title,dénomination,名前です,이름,назван,El nombre,nachname,O nome,nama,اسم
