key,zh-CN,zh-TW,en-US,fr-FR,ja-JP,ko-KR,ru-RU,es-ES,de-DE,pt-PT,id-ID,ar-SA
Remote Desktop,远程桌面,遠端桌面,Remote Desktop,Bureau à distance,リモートデスクトップ,원격 데스크톱,Удалённый рабочий стол,Escritorio remoto,Remotedesktop,Área de trabalho remota,Desktop Jarak Jauh,سطح المكتب البعيد
Remote Host,远程主机,遠端主機,Remote Host,Hôte distant,リモートホスト,원격 호스트,Удалённый хост,Host remoto,Remote-Host,Host remoto,Host Jarak Jauh,المضيف البعيد
Host Name,主机名称,主機名稱,Host Name,Nom de l'hôte,ホスト名,호스트 이름,Имя хоста,Nombre del host,Hostname,Nome do host,Nama Host,اسم المضيف
Protocol,协议,協定,Protocol,Protocole,プロトコル,프로토콜,Протокол,Protocolo,Protokoll,Protocolo,Protokol,البروتوكول
Host,地址,位址,Host,Hôte,ホスト,호스트,Хост,Host,Host,Host,Host,المضيف
Port,端口,連接埠,Port,Port,ポート,포트,Порт,Puerto,Port,Porta,Port,المنفذ
Password,密码,密碼,Password,Mot de passe,パスワード,비밀번호,Пароль,Contraseña,Passwort,Senha,Kata Sandi,كلمة المرور
Enabled,启用,啟用,Enabled,Activé,有効,활성화,Включено,Habilitado,Aktiviert,Ativado,Diaktifkan,مفعل
Remark,备注,備註,Remark,Remarque,備考,비고,Примечание,Observación,Bemerkung,Observação,Keterangan,ملاحظة
Connect,连接,連線,Connect,Connecter,接続,연결,Подключить,Conectar,Verbinden,Conectar,Hubungkan,اتصال
IP address or hostname reachable from the erupt server,erupt 服务端可访问的 IP 或主机名,erupt 伺服端可存取的 IP 或主機名,IP address or hostname reachable from the erupt server,Adresse IP ou nom d'hôte joignable depuis le serveur erupt,erupt サーバーから到達可能な IP アドレスまたはホスト名,erupt 서버에서 접근 가능한 IP 주소 또는 호스트 이름,IP-адрес или имя хоста доступные с сервера erupt,Dirección IP o nombre de host accesible desde el servidor erupt,IP-Adresse oder Hostname erreichbar vom erupt-Server,Endereço IP ou nome de host acessível a partir do servidor erupt,Alamat IP atau nama host yang dapat dijangkau dari server erupt,عنوان IP أو اسم المضيف الذي يمكن الوصول إليه من خادم erupt
