key,zh-CN,zh-TW,en-US,fr-FR,ja-JP,ko-KR,ru-RU,es-ES,de-DE,pt-PT,id-ID,ar-SA
Y,是,是,yes,oui,そうです,네,да,sí,ist,é,adalah,هو
N,否,否,no,pas,違います,아니,не,no,Oder,não,"Tidak,",لا
erupt.notnull,必填,必填,required,Qu’il remplit,必ず記入します,필수,обязательн,obligatorio,Sie müssen sie füllen.,obrigatória,Akan mengisi,« تملأ
erupt.attack.xss,检测到有恶意跨站脚本，请重新编辑！,檢測到有惡意跨站腳本，請重新編輯！,"Malicious cross-site script detected, please re-edit!",Détecté un script inter-site malveillant. Veuillez rééditer!,悪意のあるスクリプトを検知したら、再編集をお願いします!,악성 교차 스크립트가 발견되었습니다. 다시 편집하십시오!,Обнаружены злонамеренные трансстанционные скрипты.,Detectado un script de cross-site malicioso. ¡Vuelva a editar!,Die freiwurfanalyse wurde bestätigt. Bitte bearbeiten sie den artikel!,"Detectado um script cross-site malicioso. Por favor, reedite!",Skrip persimpangan berbahaya terdeteksi.,تم اكتشاف النصية الخطرة عبر المحطات، يرجى إعادة تحريرها!
erupt.must.number,必须为数值,必須為數值,Must be numeric,Doit être une valeur numérique,数値でなければなりません,값이어야 함,Это должно быть в числах,Debe ser un valor numérico,Es muss einen wert geben.,Deve ser um valor numérico,Harus numerik,يجب أن تكون القيمة
erupt.incorrect_format,格式不正确,格式不正確,Incorrect format,Le format n’est pas correct,フォーマットが正しくありません。,형식이 올바르지 않습니다,Неправильный формат,El formato no es correcto,Nicht korrekt gekleidet.,O formato não está correto,Itu bukan format yang benar.,الشكل غير صحيح
erupt.select,请先选择,請先選擇,Please select first,Veuillez sélectionner d’abord,先にお願いします,먼저 선택하세요,Выбирайте.,Por favor seleccione primero,Bitte wählen sie aus.,"Por favor, selecione primeiro",Silahkan pilih dulu,يرجى الاختيار أولا
erupt.exec_success,执行成功,執行成功,Executed successfully,Succès dans l’exécution,実行成功です。,실행 성공,Выполнено.,Éxito en ejecución,Erfolgreiche ausführung,Sucesso na execução,Sukses dijalankan,نجاح التنفيذ
erupt.exec_select_data,执行该操作时请至少选中一条数据,執行該操作時請至少選中一條數據,Select at least one piece of data when you perform this operation,Veuillez sélectionner au moins une donnée pour effectuer cette opération,この動作を実行する際には、少なくとも1つのデータを選択します。,이 작업을 수행할 때 데이터 중 적어도 하나를 선택하십시오,"При выполнении этой операции, пожалуйста, выберите хотя бы Один файл","Por favor, seleccione al menos un dato para realizar esta operación","Bitte wählen sie mindestens eine datei, um diese operation durchzuführen","Por favor, selecione pelo menos um dado ao realizar esta operação",Pilih setidaknya satu data untuk melakukan operasi ini,انتقِ a على الأقل
erupt.operation.call_hint,请确认是否执行此操作,請確認是否執行此操作,Confirm whether to perform this operation,Veuillez confirmer si cette action est effectuée,この操作を実行するかどうか確認してください。,이동작을실행할지확인하십시오,"Пожалуйста, подтвердите выполнение этой операции",Confirme si realiza esta acción,"Bitte stellen sie sicher, dass diese operation durchgeführt wird","Por favor, confirme se esta ação é realizada",Mohon konfirmasi jika aksi ini dilaksanakan,يرجى تأكيد ما إذا كان تنفيذ هذه العملية
erupt.upload_error,上传失败,上傳失敗,Upload failure,Le téléchargement a échoué,アップロード失敗しました,업로드 실패,Загрузка завершена.,La subida falló,Download fehlgeschlagen,Falha ao carregar,Gagal mengunggah,تحميل فشل
erupt.upload_error.cannot_created,上传失败，文件目录无法创建,上傳失敗，文件目錄無法創建,"The upload failed, and the file directory could not be created","Le téléchargement a échoué, le répertoire de fichiers n’a pas pu être créé",アップロードに失敗し、ファイルディレクトリが作成できません。,업로드에 실패했습니다. 파일 디렉터리를 만들 수 없습니다,"Загрузка не удалась, каталог файлов не был создан","La carga falló, formatos de archivo no permitidos",Das hochladen ist fehlgeschlagen; der ordner kann nicht erstellt werden,"O upload falhou, diretório de arquivo não pode ser criado","Upload gagal, direktori berkas tidak dapat dibuat",تحميل فشل، لا يمكن إنشاء دليل الملفات
