key,zh-CN,zh-TW,en-US,fr-FR,ja-JP,ko-KR,ru-RU,es-ES,de-DE,pt-PT,id-ID,ar-SA
AI Staff,AI 员工,AI 員工,AI Staff,Personnel IA,AIスタッフ,AI 직원,ИИ-сотрудники,Personal IA,KI-Mitarbeiter,Funcionário IA,Staf AI,موظفو الذكاء الاصطناعي
Position,职位,職位,Position,Poste,役職,직책,Должность,Puesto,Position,Cargo,Posisi,المنصب
On Duty,在岗,在崗,On Duty,En service,勤務中,근무 중,На службе,En servicio,Im Dienst,Em serviço,Bertugas,في الخدمة
Off Duty,离岗,離崗,Off Duty,Hors service,勤務外,근무 종료,Не на службе,Fuera de servicio,Außer Dienst,Fora de serviço,Tidak bertugas,خارج الخدمة
Staff Account,员工账号,員工賬號,Staff Account,Compte du personnel,スタッフアカウント,직원 계정,Учетная запись сотрудника,Cuenta del personal,Mitarbeiterkonto,Conta do funcionário,Akun staf,حساب الموظف
Duty,职责,職責,Duty,Fonctions,職務,직무,Обязанности,Funciones,Aufgaben,Funções,Tugas,المهام
Staff Task,员工任务,員工任務,Staff Task,Tâche du personnel,スタッフタスク,직원 작업,Задача сотрудника,Tarea del personal,Mitarbeiteraufgabe,Tarefa do funcionário,Tugas staf,مهمة الموظف
Staff,员工,員工,Staff,Personnel,スタッフ,직원,Сотрудник,Personal,Mitarbeiter,Funcionário,Staf,الموظف
Task Name,任务名称,任務名稱,Task Name,Nom de la tâche,タスク名,작업 이름,Название задачи,Nombre de la tarea,Aufgabenname,Nome da tarefa,Nama tugas,اسم المهمة
Task Instruction,任务指令,任務指令,Task Instruction,Instruction de la tâche,タスク指示,작업 지시,Инструкция задачи,Instrucción de la tarea,Aufgabenanweisung,Instrução da tarefa,Instruksi tugas,تعليمات المهمة
Task Status,任务状态,任務狀態,Task Status,Statut de la tâche,タスクステータス,작업 상태,Статус задачи,Estado de la tarea,Aufgabenstatus,Estado da tarefa,Status tugas,حالة المهمة
Staff Work Log,工作日志,工作日誌,Staff Work Log,Journal de travail,作業ログ,작업 일지,Журнал работы,Registro de trabajo,Arbeitsprotokoll,Registro de trabalho,Log kerja,سجل العمل
Work Log,工作日志,工作日誌,Work Log,Journal de travail,作業ログ,작업 일지,Журнал работы,Registro de trabajo,Arbeitsprotokoll,Registro de trabalho,Log kerja,سجل العمل
Work Report,工作报告,工作報告,Work Report,Rapport de travail,作業レポート,작업 보고서,Отчет о работе,Informe de trabajo,Arbeitsbericht,Relatório de trabalho,Laporan kerja,تقرير العمل
Task,任务,任務,Task,Tâche,タスク,작업,Задача,Tarea,Aufgabe,Tarefa,Tugas,المهمة
Exec Status,执行状态,執行狀態,Exec Status,Statut d'exécution,実行ステータス,실행 상태,Статус выполнения,Estado de ejecución,Ausführungsstatus,Estado de execução,Status eksekusi,حالة التنفيذ
Execute Now,立即执行,立即執行,Execute Now,Exécuter maintenant,今すぐ実行,지금 실행,Выполнить сейчас,Ejecutar ahora,Jetzt ausführen,Executar agora,Jalankan sekarang,تنفيذ الآن
Cron Expression,Cron 表达式,Cron 表達式,Cron Expression,Expression Cron,Cron式,Cron 표현식,Выражение Cron,Expresión Cron,Cron-Ausdruck,Expressão Cron,Ekspresi Cron,تعبير Cron
Success,成功,成功,Success,Succès,成功,성공,Успех,Éxito,Erfolg,Sucesso,Berhasil,نجاح
Failure,失败,失敗,Failure,Échec,失敗,실패,Сбой,Fallo,Fehler,Falha,Gagal,فشل
Start Time,开始时间,開始時間,Start Time,Heure de début,開始時間,시작 시간,Время начала,Hora de inicio,Startzeit,Hora de início,Waktu mulai,وقت البدء
End Time,结束时间,結束時間,End Time,Heure de fin,終了時間,종료 시간,Время окончания,Hora de fin,Endzeit,Hora de término,Waktu selesai,وقت الانتهاء
Error Info,错误信息,錯誤信息,Error Info,Informations d'erreur,エラー情報,오류 정보,Информация об ошибке,Información de error,Fehlerinfo,Informações de erro,Info kesalahan,معلومات الخطأ
"Task dispatched, see Work Log for the result",任务已派发，请在工作日志中查看结果,任務已派發，請在工作日誌中查看結果,"Task dispatched, see Work Log for the result","Tâche envoyée, voir le journal de travail pour le résultat",タスクを送信しました。結果は作業ログをご覧ください,작업이 전달되었습니다. 결과는 작업 일지에서 확인하세요,"Задача отправлена, результат смотрите в журнале работы","Tarea enviada, vea el registro de trabajo para el resultado","Aufgabe gesendet, Ergebnis im Arbeitsprotokoll einsehen","Tarefa enviada, veja o registro de trabalho para o resultado","Tugas dikirim, lihat log kerja untuk hasilnya",تم إرسال المهمة، راجع سجل العمل للاطلاع على النتيجة
System account the staff works under; its roles decide which AI tools are allowed,员工使用的系统账号；其角色决定可调用哪些 AI 工具,員工使用的系統賬號；其角色決定可調用哪些 AI 工具,System account the staff works under; its roles decide which AI tools are allowed,Compte système du personnel ; ses rôles déterminent les outils IA autorisés,スタッフが使用するシステムアカウント。そのロールが利用可能なAIツールを決定します,직원이 사용하는 시스템 계정이며 해당 역할이 사용 가능한 AI 도구를 결정합니다,Системная учетная запись сотрудника; ее роли определяют разрешенные ИИ-инструменты,Cuenta del sistema del personal; sus roles deciden las herramientas de IA permitidas,Systemkonto des Mitarbeiters; seine Rollen bestimmen die erlaubten KI-Werkzeuge,Conta do sistema do funcionário; seus papéis decidem as ferramentas de IA permitidas,Akun sistem staf; perannya menentukan alat AI yang diizinkan,حساب النظام للموظف؛ تحدد أدواره أدوات الذكاء الاصطناعي المسموح بها
Leave blank to use the default chat model,留空则使用默认对话模型,留空則使用預設對話模型,Leave blank to use the default chat model,Laisser vide pour utiliser le modèle de chat par défaut,空欄の場合はデフォルトチャットモデルを使用します,비워 두면 기본 채팅 모델을 사용합니다,Оставьте пустым для модели чата по умолчанию,Dejar en blanco para usar el modelo de chat predeterminado,Leer lassen für das Standard-Chat-Modell,Deixe em branco para usar o modelo de chat padrão,Kosongkan untuk menggunakan model chat default,اتركه فارغًا لاستخدام نموذج الدردشة الافتراضي
"Responsibilities and persona, appended to the system prompt on every run",职责与人设，每次执行时追加到系统提示词,職責與人設，每次執行時追加到系統提示詞,"Responsibilities and persona, appended to the system prompt on every run","Responsabilités et personnalité, ajoutées au prompt système à chaque exécution",職務とペルソナ。実行のたびにシステムプロンプトに追加されます,직무와 페르소나로 실행할 때마다 시스템 프롬프트에 추가됩니다,"Обязанности и персона, добавляются к системному запросу при каждом запуске","Responsabilidades y personalidad, añadidas al prompt del sistema en cada ejecución","Aufgaben und Persona, bei jedem Lauf an den System-Prompt angehängt","Responsabilidades e persona, anexadas ao prompt do sistema a cada execução","Tanggung jawab dan persona, ditambahkan ke prompt sistem pada setiap eksekusi",المسؤوليات والشخصية، تُضاف إلى تلميح النظام في كل تشغيل
Leave blank to run manually only,留空则仅支持手动执行,留空則僅支持手動執行,Leave blank to run manually only,Laisser vide pour une exécution manuelle uniquement,空欄の場合は手動実行のみ,비워 두면 수동 실행만 가능합니다,Оставьте пустым только для ручного запуска,Dejar en blanco para ejecución manual solamente,Leer lassen für nur manuelle Ausführung,Deixe em branco para execução manual apenas,Kosongkan untuk eksekusi manual saja,اتركه فارغًا للتنفيذ اليدوي فقط
Staff Channel,员工渠道,員工渠道,Staff Channel,Canal du personnel,スタッフチャンネル,직원 채널,Канал сотрудника,Canal del personal,Mitarbeiterkanal,Canal do funcionário,Saluran staf,قناة الموظف
Channel Type,渠道类型,渠道類型,Channel Type,Type de canal,チャンネルタイプ,채널 유형,Тип канала,Tipo de canal,Kanaltyp,Tipo de canal,Jenis saluran,نوع القناة
Answering Staff,应答员工,應答員工,Answering Staff,Personnel répondant,応答スタッフ,응답 직원,Отвечающий сотрудник,Personal que responde,Antwortender Mitarbeiter,Funcionário que responde,Staf penjawab,الموظف المجيب
Callback Code,回调标识,回調標識,Callback Code,Code de rappel,コールバックコード,콜백 코드,Код обратного вызова,Código de devolución,Callback-Code,Código de retorno,Kode callback,رمز رد الاتصال
Channel Config,渠道配置,渠道配置,Channel Config,Configuration du canal,チャンネル設定,채널 구성,Конфигурация канала,Configuración del canal,Kanalkonfiguration,Configuração do canal,Konfigurasi saluran,إعداد القناة
Report To,报告推送渠道,報告推送渠道,Report To,Canal de rapport,レポート送信先,보고 채널,Канал отчета,Canal de informe,Berichtskanal,Canal de relatório,Saluran laporan,قناة التقرير
Test Push,测试推送,測試推送,Test Push,Test d'envoi,テスト送信,테스트 전송,Тестовая отправка,Envío de prueba,Test-Push,Envio de teste,Uji kirim,اختبار الإرسال
Test message sent,测试消息已发送,測試消息已發送,Test message sent,Message de test envoyé,テストメッセージを送信しました,테스트 메시지가 전송되었습니다,Тестовое сообщение отправлено,Mensaje de prueba enviado,Testnachricht gesendet,Mensagem de teste enviada,Pesan uji terkirim,تم إرسال رسالة الاختبار
This is a test message from Erupt AI Staff,这是一条来自 Erupt AI 员工的测试消息,這是一條來自 Erupt AI 員工的測試消息,This is a test message from Erupt AI Staff,Ceci est un message de test d'Erupt AI Staff,これは Erupt AI スタッフからのテストメッセージです,Erupt AI 직원이 보낸 테스트 메시지입니다,Это тестовое сообщение от ИИ-сотрудника Erupt,Este es un mensaje de prueba de Erupt AI Staff,Dies ist eine Testnachricht von Erupt AI Staff,Esta é uma mensagem de teste do Erupt AI Staff,Ini adalah pesan uji dari Staf AI Erupt,هذه رسالة اختبار من موظف الذكاء الاصطناعي في Erupt
Staff who answers messages from this channel; leave blank for push-only,应答该渠道消息的员工；留空则仅用于推送,應答該渠道消息的員工；留空則僅用於推送,Staff who answers messages from this channel; leave blank for push-only,Personnel répondant aux messages de ce canal ; laisser vide pour envoi uniquement,このチャンネルのメッセージに応答するスタッフ。空欄の場合は送信専用,이 채널의 메시지에 응답하는 직원이며 비워 두면 전송 전용입니다,Сотрудник для ответов в этом канале; пусто = только отправка,Personal que responde en este canal; vacío = solo envío,Mitarbeiter für Antworten in diesem Kanal; leer = nur Push,Funcionário que responde neste canal; vazio = apenas envio,Staf yang menjawab pesan saluran ini; kosongkan untuk kirim saja,الموظف الذي يجيب على رسائل هذه القناة؛ اتركه فارغًا للإرسال فقط
Callback URL: {domain}/erupt-api/ai-staff/channel/{code},回调地址：{domain}/erupt-api/ai-staff/channel/{code},回調地址：{domain}/erupt-api/ai-staff/channel/{code},Callback URL: {domain}/erupt-api/ai-staff/channel/{code},URL de rappel : {domain}/erupt-api/ai-staff/channel/{code},コールバックURL：{domain}/erupt-api/ai-staff/channel/{code},콜백 URL: {domain}/erupt-api/ai-staff/channel/{code},URL обратного вызова: {domain}/erupt-api/ai-staff/channel/{code},URL de devolución: {domain}/erupt-api/ai-staff/channel/{code},Callback-URL: {domain}/erupt-api/ai-staff/channel/{code},URL de retorno: {domain}/erupt-api/ai-staff/channel/{code},URL callback: {domain}/erupt-api/ai-staff/channel/{code},عنوان رد الاتصال: {domain}/erupt-api/ai-staff/channel/{code}
Channel the work report is pushed to after each run,每次执行后推送工作报告的渠道,每次執行後推送工作報告的渠道,Channel the work report is pushed to after each run,Canal où le rapport de travail est envoyé après chaque exécution,実行のたびに作業レポートを送信するチャンネル,실행할 때마다 작업 보고서를 전송할 채널,Канал для отправки отчета после каждого запуска,Canal al que se envía el informe tras cada ejecución,Kanal für den Arbeitsbericht nach jedem Lauf,Canal para envio do relatório após cada execução,Saluran tujuan laporan kerja setelah setiap eksekusi,القناة التي يُرسل إليها تقرير العمل بعد كل تشغيل
